$n$,$l = 1$,$l = 2$,$l = 3$,$l = 4$,$l = 5$,$l = 6$,$l = 7$,$l = 8$,$l = 9$,$l = 10$
1,4.541,10.947,20.068,31.904,46.459,63.730,83.720,106.428,131.854,159.999
2,8.872,17.210,28.257,42.018,58.496,77.691,99.604,124.235,151.583,181.650
3,14.730,24.984,37.949,53.630,72.028,93.143,116.977,143.528,172.798,204.786
4,22.130,34.285,49.159,66.752,87.064,110.096,135.847,164.318,195.507,229.414
5,31.080,45.121,61.894,81.392,103.614,128.558,156.224,186.609,219.715,255.540
6,41.585,57.501,76.163,97.559,121.684,148.536,178.112,210.410,245.430,283.170
7,53.647,71.427,91.970,115.257,141.281,170.035,201.517,235.725,272.655,312.308
8,67.270,86.905,109.321,134.493,162.409,193.061,226.445,262.558,301.396,342.959
9,82.455,103.937,128.219,155.268,185.071,217.617,252.899,290.913,331.657,375.127
10,99.204,122.525,148.666,177.588,209.272,243.706,280.883,320.795,363.440,408.814
11,117.516,142.670,170.664,201.453,235.014,271.333,310.399,352.206,396.750,444.025
12,137.394,164.375,194.217,226.867,262.300,300.499,341.451,385.150,431.588,480.762
13,158.838,187.641,219.325,253.832,291.132,331.207,374.042,419.628,467.959,519.028
14,181.848,212.468,245.990,282.349,321.512,363.459,408.172,455.643,505.863,558.826
15,206.425,238.857,274.212,312.419,353.442,397.256,443.846,493.198,545.303,600.156
16,232.569,266.809,303.994,344.045,386.923,432.602,481.063,532.293,586.282,643.022
17,260.281,296.325,335.336,377.226,421.956,469.496,519.826,572.931,628.800,687.425
18,289.560,327.406,368.238,411.965,458.543,507.941,560.136,615.113,672.860,733.367
19,320.407,360.051,402.701,448.262,496.685,547.937,601.995,658.841,718.462,780.849
20,352.823,394.261,438.727,486.118,536.382,589.486,645.403,704.116,765.609,829.873
21,386.807,430.037,476.315,525.533,577.636,632.588,690.363,750.939,814.302,880.440
22,422.359,467.379,515.467,566.508,620.447,677.245,736.874,799.311,864.541,932.551
23,459.480,506.287,556.182,609.045,664.817,723.458,784.938,849.233,916.328,-
24,498.170,546.761,598.461,653.142,710.745,771.227,834.555,900.707,969.664,-
25,538.429,588.802,642.304,698.802,758.233,820.552,885.727,953.733,-,-
26,580.257,632.410,687.712,746.023,807.280,871.435,938.455,-,-,-
27,623.654,677.585,734.684,794.808,857.888,923.877,-,-,-,-
28,668.620,724.328,783.223,845.156,910.057,-,-,-,-,-
29,715.156,772.637,833.326,897.067,963.787,-,-,-,-,-
30,763.261,822.515,884.995,950.542,-,-,-,-,-,-
31,812.935,873.960,938.231,-,-,-,-,-,-,-
32,864.179,926.973,-,-,-,-,-,-,-,-
33,916.992,-,-,-,-,-,-,-,-,-
34,971.375,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-
